Relay URL,Latitude,Longitude
top.testrelay.top,43.6532,-79.3832
relay.boredvictor.xyz,41.3888,2.15899
nostr.notribe.net,40.8302,-74.1299
social.amanah.eblessing.co,48.1046,11.6002
relay.routstr.com,43.6532,-79.3832
nostr-relay.online,43.6532,-79.3832
bitchat.nostr1.com,38.6327,-90.1961
relay.og.coop,43.6532,-79.3832
nostr.snowbla.de,60.1699,24.9384
nostr.overmind.lol,43.6532,-79.3832
wot.dergigi.com,64.1476,-21.9392
nostr.stakey.net,52.3676,4.90414
relay.fundstr.me,42.3601,-71.0589
relay.orangepill.ovh,49.1689,-0.358841
schnorr.me,43.6532,-79.3832
nostr-relay.psfoundation.info,39.0438,-77.4874
relay.mitchelltribe.com,39.0438,-77.4874
relay.sharegap.net,43.6532,-79.3832
nostr.defucc.me,50.1109,8.68213
relay.mostro.network,40.8302,-74.1299
relay.threenine.services,51.5222,-0.62916
relay.openfarmtools.org,60.1699,24.9384
ai.techunder.tech:56711,22.5429,114.06
r.bitcoinhold.net,43.6532,-79.3832
nostr.rtvslawenia.com,49.4543,11.0746
articles.layer3.news,37.3387,-121.885
relay.angor.io,48.1046,11.6002
relay.bitmacro.io,48.8566,2.35222
relay.cyphernomad.com,60.4032,25.0321
relay.purplefrog.cloud,35.6916,139.768
relay.snotr.nl:49999,52.0195,4.42946
relay.wellorder.net,45.5201,-122.99
nostr.spicyz.io,43.6532,-79.3832
nostr-verified.wellorder.net,45.5201,-122.99
wot.nostr.party,36.1627,-86.7816
relay.lanavault.space,60.1699,24.9384
okn.czas.plus,50.1109,8.68213
relay.guggero.org,46.0037,8.95105
nostr.sathoarder.com,48.5734,7.75211
relay.vrtmrz.net,43.6532,-79.3832
relay.bitcoindistrict.org,43.6532,-79.3832
strfry.elswa-dev.online,50.1109,8.68213
nostr2.girino.org,43.6532,-79.3832
relay.bithome.site,52.3563,4.95714
aaa-api.freefrom.space/v1/ws,43.6532,-79.3832
holland-excited-charming-experiencing.trycloudflare.com,43.6532,-79.3832
relay2.angor.io,48.1046,11.6002
relay.sigit.io,50.4754,12.3683
ribo.eu.nostria.app,52.3676,4.90414
relay.typedcypher.com,51.5072,-0.127586
relay.shadowbip.com,51.5072,-0.127586
relay.edufeed.org,49.4521,11.0767
nostr.tagomago.me,3.139,101.687
relay.dreamith.to,43.6532,-79.3832
inbox.mycelium.social,38.627,-90.1994
relay.binaryrobot.com,43.6532,-79.3832
memlay.v0l.io,53.3498,-6.26031
relay01.lnfi.network,35.6764,139.65
nostr.pbfs.io,50.4754,12.3683
relay.wavlake.com,41.2619,-95.8608
nostr.mifen.me,43.6532,-79.3832
relay.fckstate.net,59.3293,18.0686
kitchen.zap.cooking,43.6532,-79.3832
relay-testnet.k8s.layer3.news,37.3387,-121.885
relay.earthly.city,34.0362,-118.443
nostr.mikoshi.de,50.1109,8.68213
nostr.wom.wtf,43.6532,-79.3832
espelho.girino.org,43.6532,-79.3832
nostriches.club,43.6532,-79.3832
vault.iris.to,43.6532,-79.3832
x.kojira.io,43.6532,-79.3832
relay.primal.net,43.6532,-79.3832
syb.lol,34.0549,-118.243
relay.staging.commonshub.brussels,49.4543,11.0746
nostr-relay.zeabur.app,25.0797,121.234
purplerelay.com,43.6532,-79.3832
nostr.bitcoiner.social,47.6743,-117.112
relay.nostriot.com,41.5695,-83.9786
relay.nostrzh.org,43.6532,-79.3832
reraw.pbla2fish.cc,43.6532,-79.3832
nostr.rblb.it:7777,43.7094,10.6582
nos.lol,50.4754,12.3683
satsage.xyz,37.3986,-121.964
nostrferatu.darserians.xyz,33.9526,-84.5499
relay02.lnfi.network,35.6764,139.65
nostr.data.haus,50.4754,12.3683
nostr.ps1829.com,33.8851,130.883
relay.samt.st,40.8302,-74.1299
relay.bnos.space,43.6532,-79.3832
relay.damus.io,43.6532,-79.3832
speakeasy.cellar.social,49.4543,11.0746
relay.gulugulu.moe,43.6532,-79.3832
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
ribo.us.nostria.app,41.5868,-93.625
nostrelites.org,41.8781,-87.6298
relay.ru.ac.th,13.7607,100.627
relay.21e6.cz,50.7383,15.0648
relay.lightning.pub,39.0438,-77.4874
relay.bikel.ink,60.1699,24.9384
nexus.libernet.app,43.6532,-79.3832
